Keyword,Pincode,Search Status,Timestamp,Brand Name,Tracked Product,Matched,Matched Card,Pack Size,Inventory (stock),Max Cart,Overall Position,Organic Position,Sponsored Position,Is Sponsored,Price (Rs),MRP (Rs),Discount (Rs),Discount % of MRP,Sold Out,Total Results,Match Score,Product URL
face wash,560001,ok,2026-09-15T20:55:08,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,560001,ok,2026-09-15T20:55:08,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
protein bar,560001,ok,2026-09-15T20:55:21,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.4,
protein bar,560001,ok,2026-09-15T20:55:21,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.5,
protein bar,560001,ok,2026-09-15T20:55:21,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
protein bar,560001,ok,2026-09-15T20:55:21,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
protein bar,560001,ok,2026-09-15T20:55:21,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
protein bar,560001,ok,2026-09-15T20:55:21,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
protein bar,560001,ok,2026-09-15T20:55:21,The Whole Truth,The Whole Truth Protein Bar,Y,The Whole Truth Cranberry Raisin Protein Bar,52 g,32,32,5,,5,True,132,175,43,24.6,False,60,1.0,https://blinkit.com/prn/product/prid/735409
protein bar,560001,ok,2026-09-15T20:55:21,Yoga Bar,Yoga Bar Protein Bar,Y,Yoga Bar Assorted Breakfast Protein Bar Pack,4 x 45 g + 2 x 50 g,6,6,1,,1,True,248,299,51,17.1,False,60,1.0,https://blinkit.com/prn/product/prid/475628
protein bar,560001,ok,2026-09-15T20:55:21,,Quaker Oats,N,,,,,,,,,,,,,,60,0.5,
protein bar,560001,ok,2026-09-15T20:55:21,,Saffola Oats,N,,,,,,,,,,,,,,60,0.5,
oats,560001,ok,2026-09-15T20:55:35,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
oats,560001,ok,2026-09-15T20:55:35,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
oats,560001,ok,2026-09-15T20:55:35,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
oats,560001,ok,2026-09-15T20:55:35,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
oats,560001,ok,2026-09-15T20:55:35,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
oats,560001,ok,2026-09-15T20:55:35,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
oats,560001,ok,2026-09-15T20:55:35,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.4,
oats,560001,ok,2026-09-15T20:55:35,Yoga Bar,Yoga Bar Protein Bar,Y,Yoga Bar 26g High Protein Oats (Dark Chocolate),250 g,3,3,1,,1,True,139,200,61,30.5,False,60,1.0,https://blinkit.com/prn/product/prid/546488
oats,560001,ok,2026-09-15T20:55:35,Quaker,Quaker Oats,Y,Quaker Rolled Instant Oats,400 g,9,9,2,2,,False,86,86,0,0.0,False,60,1.0,https://blinkit.com/prn/product/prid/37264
oats,560001,ok,2026-09-15T20:55:35,Saffola,Saffola Oats,Y,Saffola Classic-Masala Oats,38 g,3,3,6,6,,False,20,20,0,0.0,False,60,1.0,https://blinkit.com/prn/product/prid/216024
peanut butter,400001,ok,2026-09-15T20:55:48,Pintola,Pintola All Natural Peanut Butter,Y,Pintola All Natural Crunchy Peanut Butter (Unsweetened),350 g,3,3,2,2,,False,156,170,14,8.2,False,60,1.0,https://blinkit.com/prn/product/prid/425544
peanut butter,400001,ok,2026-09-15T20:55:48,MyFitness,MyFitness Original Peanut Butter,Y,MyFitness Original Peanut Butter Smooth Spread,510 g,2,2,39,39,,False,281,319,38,11.9,False,60,1.0,https://blinkit.com/prn/product/prid/444823
peanut butter,400001,ok,2026-09-15T20:55:48,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
peanut butter,400001,ok,2026-09-15T20:55:48,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
peanut butter,400001,ok,2026-09-15T20:55:48,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
peanut butter,400001,ok,2026-09-15T20:55:48,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
peanut butter,400001,ok,2026-09-15T20:55:48,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.6,
peanut butter,400001,ok,2026-09-15T20:55:48,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.33,
peanut butter,400001,ok,2026-09-15T20:55:48,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
peanut butter,400001,ok,2026-09-15T20:55:48,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
dog food,400001,ok,2026-09-15T20:56:12,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,Pedigree,Pedigree Adult Dog Food Chicken & Vegetables,Y,Pedigree Adult Dry Dog Food - Chicken & Vegetables,1.2 kg,1,1,4,4,,False,313,340,27,7.9,False,60,1.0,https://blinkit.com/prn/product/prid/352647
dog food,400001,ok,2026-09-15T20:56:12,Drools,Drools Adult Dog Food,Y,Drools Chicken Chunks in Gravy Adult Wet Dog Food,6 x 150 g,2,2,10,10,,False,225,250,25,10.0,False,60,1.0,https://blinkit.com/prn/product/prid/555651
dog food,400001,ok,2026-09-15T20:56:12,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
dog food,400001,ok,2026-09-15T20:56:12,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
face wash,400001,ok,2026-09-15T20:56:25,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,Cetaphil,Cetaphil Gentle Skin Cleanser,Y,Cetaphil Gentle Skin Cleanser,118 ml,5,5,17,17,,False,404,459,55,12.0,False,60,1.0,https://blinkit.com/prn/product/prid/496038
face wash,400001,ok,2026-09-15T20:56:25,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.43,
face wash,400001,ok,2026-09-15T20:56:25,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.2,
face wash,400001,ok,2026-09-15T20:56:25,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,400001,ok,2026-09-15T20:56:25,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
protein bar,400001,ok,2026-09-15T20:56:38,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.4,
protein bar,400001,ok,2026-09-15T20:56:38,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.5,
protein bar,400001,ok,2026-09-15T20:56:38,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
protein bar,400001,ok,2026-09-15T20:56:38,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
protein bar,400001,ok,2026-09-15T20:56:38,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
protein bar,400001,ok,2026-09-15T20:56:38,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
protein bar,400001,ok,2026-09-15T20:56:38,The Whole Truth,The Whole Truth Protein Bar,Y,The Whole Truth Double Cocoa Protein Bar,52 g,35,35,7,7,,False,120,130,10,7.7,False,60,1.0,https://blinkit.com/prn/product/prid/457042
protein bar,400001,ok,2026-09-15T20:56:38,Yoga Bar,Yoga Bar Protein Bar,Y,Yoga Bar Assorted Breakfast Protein Bar Pack,4 x 45 g + 2 x 50 g,3,3,1,,1,True,229,299,70,23.4,False,60,1.0,https://blinkit.com/prn/product/prid/475628
protein bar,400001,ok,2026-09-15T20:56:38,,Quaker Oats,N,,,,,,,,,,,,,,60,0.5,
protein bar,400001,ok,2026-09-15T20:56:38,,Saffola Oats,N,,,,,,,,,,,,,,60,0.5,
oats,400001,ok,2026-09-15T20:56:51,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
oats,400001,ok,2026-09-15T20:56:51,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
oats,400001,ok,2026-09-15T20:56:51,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
oats,400001,ok,2026-09-15T20:56:51,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
oats,400001,ok,2026-09-15T20:56:51,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
oats,400001,ok,2026-09-15T20:56:51,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
oats,400001,ok,2026-09-15T20:56:51,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.4,
oats,400001,ok,2026-09-15T20:56:51,Yoga Bar,Yoga Bar Protein Bar,Y,Yoga Bar 26g High Protein Oats (Dark Chocolate),250 g,1,1,5,,5,True,139,200,61,30.5,False,60,1.0,https://blinkit.com/prn/product/prid/546488
oats,400001,ok,2026-09-15T20:56:51,Quaker,Quaker Oats,Y,Quaker Rolled Instant Oats,400 g,7,7,2,2,,False,86,86,0,0.0,False,60,1.0,https://blinkit.com/prn/product/prid/37264
oats,400001,ok,2026-09-15T20:56:51,Saffola,Saffola Oats,Y,Saffola Classic-Masala Oats - Pack of 4,4 x 38 g,2,2,3,3,,False,76,80,4,5.0,False,60,1.0,https://blinkit.com/prn/product/prid/487800
peanut butter,122001,ok,2026-09-15T20:57:05,Pintola,Pintola All Natural Peanut Butter,Y,Pintola All Natural Crunchy Peanut Butter (Unsweetened),350 g,3,3,3,3,,False,156,170,14,8.2,False,54,1.0,https://blinkit.com/prn/product/prid/425544
peanut butter,122001,ok,2026-09-15T20:57:05,MyFitness,MyFitness Original Peanut Butter,Y,MyFitness Original Peanut Butter Smooth Spread,510 g,3,3,29,29,,False,281,319,38,11.9,False,54,1.0,https://blinkit.com/prn/product/prid/444823
peanut butter,122001,ok,2026-09-15T20:57:05,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,54,0.0,
peanut butter,122001,ok,2026-09-15T20:57:05,,Drools Adult Dog Food,N,,,,,,,,,,,,,,54,0.0,
peanut butter,122001,ok,2026-09-15T20:57:05,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,54,0.0,
peanut butter,122001,ok,2026-09-15T20:57:05,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,54,0.0,
peanut butter,122001,ok,2026-09-15T20:57:05,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,54,0.6,
peanut butter,122001,ok,2026-09-15T20:57:05,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,54,0.67,
peanut butter,122001,ok,2026-09-15T20:57:05,,Quaker Oats,N,,,,,,,,,,,,,,54,0.5,
peanut butter,122001,ok,2026-09-15T20:57:05,,Saffola Oats,N,,,,,,,,,,,,,,54,0.5,
dog food,122001,ok,2026-09-15T20:57:30,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
dog food,122001,ok,2026-09-15T20:57:30,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
dog food,122001,ok,2026-09-15T20:57:30,Pedigree,Pedigree Adult Dog Food Chicken & Vegetables,Y,"Pedigree Adult Wet Dog Food, Chicken & Liver Chunks in Gravy",130 g,4,4,2,2,,False,70,70,0,0.0,False,60,0.83,https://blinkit.com/prn/product/prid/555458
dog food,122001,ok,2026-09-15T20:57:30,Drools,Drools Adult Dog Food,Y,Drools Chicken Chunks in Gravy Adult Wet Dog Food,6 x 150 g,1,1,4,4,,False,225,250,25,10.0,False,60,1.0,https://blinkit.com/prn/product/prid/555651
dog food,122001,ok,2026-09-15T20:57:30,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
dog food,122001,ok,2026-09-15T20:57:30,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.14,
dog food,122001,ok,2026-09-15T20:57:30,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,122001,ok,2026-09-15T20:57:30,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,122001,ok,2026-09-15T20:57:30,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
dog food,122001,ok,2026-09-15T20:57:30,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
face wash,122001,ok,2026-09-15T20:57:43,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,Cetaphil,Cetaphil Gentle Skin Cleanser,Y,Cetaphil Gentle Skin Cleanser,118 ml,13,13,9,9,,False,404,459,55,12.0,False,60,1.0,https://blinkit.com/prn/product/prid/496038
face wash,122001,ok,2026-09-15T20:57:43,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.43,
face wash,122001,ok,2026-09-15T20:57:43,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.2,
face wash,122001,ok,2026-09-15T20:57:43,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,122001,ok,2026-09-15T20:57:43,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
protein bar,122001,ok,2026-09-15T20:57:56,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.4,
protein bar,122001,ok,2026-09-15T20:57:56,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.5,
protein bar,122001,ok,2026-09-15T20:57:56,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
protein bar,122001,ok,2026-09-15T20:57:56,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
protein bar,122001,ok,2026-09-15T20:57:56,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
protein bar,122001,ok,2026-09-15T20:57:56,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
protein bar,122001,ok,2026-09-15T20:57:56,The Whole Truth,The Whole Truth Protein Bar,Y,The Whole Truth Double Cocoa Protein Bar,52 g,7,7,12,12,,False,120,130,10,7.7,False,60,1.0,https://blinkit.com/prn/product/prid/457042
protein bar,122001,ok,2026-09-15T20:57:56,Yoga Bar,Yoga Bar Protein Bar,Y,Yoga Bar Assorted Breakfast Protein Bar Pack,4 x 45 g + 2 x 50 g,4,4,1,,1,True,229,299,70,23.4,False,60,1.0,https://blinkit.com/prn/product/prid/475628
protein bar,122001,ok,2026-09-15T20:57:56,,Quaker Oats,N,,,,,,,,,,,,,,60,0.5,
protein bar,122001,ok,2026-09-15T20:57:56,,Saffola Oats,N,,,,,,,,,,,,,,60,0.5,
oats,122001,ok,2026-09-15T20:58:09,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
oats,122001,ok,2026-09-15T20:58:09,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
oats,122001,ok,2026-09-15T20:58:09,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
oats,122001,ok,2026-09-15T20:58:09,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
oats,122001,ok,2026-09-15T20:58:09,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
oats,122001,ok,2026-09-15T20:58:09,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
oats,122001,ok,2026-09-15T20:58:09,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.4,
oats,122001,ok,2026-09-15T20:58:09,Yoga Bar,Yoga Bar Protein Bar,Y,"Yoga Bar Protein Oats (Fruits, Nuts & Seeds)",1 kg,1,1,5,,5,True,439,490,51,10.4,False,60,1.0,https://blinkit.com/prn/product/prid/782872
oats,122001,ok,2026-09-15T20:58:09,Quaker,Quaker Oats,Y,Quaker Rolled Instant Oats,400 g,5,5,2,2,,False,86,86,0,0.0,False,60,1.0,https://blinkit.com/prn/product/prid/37264
oats,122001,ok,2026-09-15T20:58:09,Saffola,Saffola Oats,Y,Saffola Classic-Masala Oats - Pack of 4,4 x 38 g,12,12,3,3,,False,76,80,4,5.0,False,60,1.0,https://blinkit.com/prn/product/prid/487800
